Date,Category,Amount,Description
2025-02-05,Groceries,54.50,Weekly grocery shopping
2025-02-07,Transport,12.30,Metro card recharge
2025-02-08,Entertainment,25.00,Movie ticket
2025-02-10,Vegetables,8.75,Fresh vegetables
2025-02-12,Fruits,15.20,Seasonal fruits
2025-02-15,Shopping,89.99,New shoes
2025-02-18,Utilities,120.00,Electricity bill
2025-02-20,Health & Fitness,45.00,Gym membership
2025-02-22,Stationary,7.50,Notebooks and pens
2025-02-25,Groceries,65.30,Monthly grocery shopping
2025-02-28,Transport,15.00,Bus pass renewal
2025-03-01,Entertainment,35.00,Restaurant dinner
2025-03-03,Vegetables,12.50,Fresh vegetables
2025-03-05,Fruits,18.75,Seasonal fruits
2025-03-08,Shopping,150.00,New clothes
2025-03-10,Utilities,135.00,Water bill
2025-03-12,Health & Fitness,50.00,Protein supplements
2025-03-15,Stationary,9.99,Office supplies
2025-03-18,Groceries,75.25,Weekly grocery shopping
2025-03-20,Transport,20.00,Train ticket
2025-03-22,Entertainment,45.00,Concert ticket
2025-03-25,Vegetables,10.25,Fresh vegetables
2025-03-28,Fruits,22.50,Seasonal fruits